Pitch,Roll,Yaw,Acc_X,Acc_Y,Acc_Z,Gravity_Magnitude
0.0,0.0,0.0,0.0,0.0,9.81,9.81
0.0,0.0,40.0,0.0,0.0,9.81,9.81
0.0,0.0,80.0,0.0,0.0,9.81,9.81
0.0,0.0,120.0,0.0,0.0,9.81,9.81
0.0,0.0,160.0,0.0,0.0,9.81,9.81
0.0,0.0,200.0,0.0,0.0,9.81,9.81
0.0,0.0,240.0,0.0,0.0,9.81,9.81
0.0,0.0,280.0,0.0,0.0,9.81,9.81
0.0,0.0,320.0,0.0,0.0,9.81,9.81
0.0,0.0,360.0,0.0,0.0,9.81,9.81
0.0,10.0,0.0,1.7034886229125867,0.0,9.66096405704976,9.81
0.0,10.0,40.0,1.3049479934985873,1.094981380050196,9.66096405704976,9.81
0.0,10.0,80.0,0.2958076950451195,1.6776088030124048,9.66096405704976,9.81
0.0,10.0,120.0,-0.8517443114562929,1.4752644225000704,9.66096405704976,9.81
0.0,10.0,160.0,-1.6007556885437064,0.5826274229622092,9.66096405704976,9.81
0.0,10.0,200.0,-1.6007556885437066,-0.5826274229622088,9.66096405704976,9.81
0.0,10.0,240.0,-0.8517443114562941,-1.4752644225000697,9.66096405704976,9.81
0.0,10.0,280.0,0.2958076950451187,-1.6776088030124052,9.66096405704976,9.81
0.0,10.0,320.0,1.3049479934985866,-1.0949813800501966,9.66096405704976,9.81
0.0,10.0,360.0,1.7034886229125867,-4.1723437788676635e-16,9.66096405704976,9.81
0.0,20.0,0.0,3.3552176060248105,0.0,9.218384609909762,9.81
0.0,20.0,40.0,2.570245802550266,2.1566923049548805,9.218384609909762,9.81
0.0,20.0,80.0,0.5826274229622092,3.3042443114562934,9.218384609909762,9.81
0.0,20.0,120.0,-1.6776088030124043,2.905703682042294,9.218384609909762,9.81
0.0,20.0,160.0,-3.1528732255124754,1.147552006501413,9.218384609909762,9.81
0.0,20.0,200.0,-3.152873225512476,-1.1475520065014124,9.218384609909762,9.81
0.0,20.0,240.0,-1.6776088030124066,-2.9057036820422932,9.218384609909762,9.81
0.0,20.0,280.0,0.5826274229622077,-3.3042443114562934,9.218384609909762,9.81
0.0,20.0,320.0,2.5702458025502657,-2.1566923049548814,9.218384609909762,9.81
0.0,20.0,360.0,3.3552176060248105,-8.217913003322259e-16,9.218384609909762,9.81
0.0,30.0,0.0,4.904999999999999,0.0,8.495709211125344,9.81
0.0,30.0,40.0,3.757447993498587,3.1528732255124745,8.495709211125344,9.81
0.0,30.0,80.0,0.8517443114562936,4.83048202852488,8.495709211125344,9.81
0.0,30.0,120.0,-2.452499999999999,4.247854605562671,8.495709211125344,9.81
0.0,30.0,160.0,-4.60919230495488,1.6776088030124057,8.495709211125344,9.81
0.0,30.0,200.0,-4.60919230495488,-1.6776088030124046,8.495709211125344,9.81
