Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3(),Delta_t,Sum Acceleration (g),Corrected_Acc_X(m/s²),Corrected_Acc_Y(m/s²),Corrected_Acc_Z(m/s²),Position X(m),Position Y(m),Position Z(m)
1900-01-01 09:06:25.888,COM12,2024-09-20 13:51:30.704,"-0,014","-0,005","0,999","-0,122","-0,061","0,0","-0,511","0,533","163,685","98,033","45,370","49,023","19,46",96530,"408,64",,,,,,,,,,,,,,"0,092","0,98","-0,025183322519888057","0,009282754061184555","-0,008995397855434462","-0,02260209775390563","-0,00451169895664419","-0,007335851284807425"
1900-01-01 09:06:25.997,COM12,2024-09-20 13:51:30.804,"-0,013","-0,006","0,999","0,0","-0,061","0,0","-0,511","0,533","163,685","98,020","45,383","49,023","19,46",96530,"408,64",,,,,,,,,,,,,,"0,109","0,98","-0,015373322519888044","-0,0005272459388154446","-0,008995397855434462","-0,0257985383652273","-0,004952696938270952","-0,008553706543459348"
1900-01-01 09:06:26.089,COM12,2024-09-20 13:51:30.904,"-0,013","-0,005","0,999","-0,061","0,0","0,0","-0,511","0,533","163,685","98,020","45,383","49,023","19,46",96530,"408,64",,,,,,,,,,,,,,"0,092","0,981","-0,015373322519888044","0,009282754061184555","-0,008995397855434462","-0,028626571343564014","-0,005246346187802242","-0,009657758121146066"
1900-01-01 09:06:26.197,COM12,2024-09-20 13:51:31.004,"-0,013","-0,006","1,0","0,0","-0,122","0,0","-0,516","0,527","163,685","98,007","45,396","49,010","19,46",96530,"408,64",,,,,,,,,,,,,,"0,108","0,981","-0,016118762353611996","0,0005829153451193461","0,00081277189891793","-0,032134445388312685","-0,005584265747449155","-0,010944338497436278"
1900-01-01 09:06:26.290,COM12,2024-09-20 13:51:31.104,"-0,013","-0,006","0,999","0,0","0,0","0,0","-0,516","0,522","163,685","97,994","45,396","49,010","19,46",96530,"408,64",,,,,,,,,,,,,,"0,093","0,98","-0,016940305630634214","0,000823384900259759","-0,009005064482414227","-0,0353016314080234","-0,005868130578920539","-0,012130111957505695"
1900-01-01 09:06:26.397,COM12,2024-09-20 13:51:31.204,"-0,013","-0,006","0,999","-0,061","0,0","0,0","-0,516","0,527","163,685","97,994","45,409","48,997","19,49",96530,"408,64",,,,,,,,,,,,,,"0,107","0,98","-0,016118762353611996","0,0005829153451193461","-0,008997228101081944","-0,03913014182905986","-0,00618805395282715","-0,013597398213727753"
1900-01-01 09:06:26.490,COM12,2024-09-20 13:51:31.304,"-0,013","-0,005","0,999","0,0","0,0","0,0","-0,516","0,527","163,685","97,994","45,422","48,984","19,47",96530,"408,64",,,,,,,,,,,,,,"0,093","0,981","-0,016118762353611996","0,010392915345119345","-0,008997228101081944","-0,04259713682854776","-0,006376229868879315","-0,014950520116477293"
1900-01-01 09:06:26.601,COM12,2024-09-20 13:51:31.404,"-0,013","-0,005","0,999","0,0","0,0","0,0","-0,516","0,527","163,685","97,994","45,409","48,997","19,51",96530,"408,64",,,,,,,,,,,,,,"0,111","0,981","-0,016118762353611996","0,010392915345119345","-0,008997228101081944","-0,046933762389217974","-0,006472775820006617","-0,016676391428482755"
1900-01-01 09:06:26.695,COM12,2024-09-20 13:51:31.504,"-0,012","-0,006","0,999","0,0","0,0","0,0","-0,516","0,533","163,685","98,007","45,409","48,997","19,46",96530,"408,64",,,,,,,,,,,,,,"0,094","0,981","-0,005322911292201901","0,0002943521339014432","-0,008987725837860339","-0,05065325331540488","-0,00655193455883945","-0,018217355652621347"
1900-01-01 09:06:26.803,COM12,2024-09-20 13:51:31.604,"-0,013","-0,006","0,998","0,0","0,0","0,0","-0,511","0,538","163,685","97,981","45,409","48,997","19,44",96530,"408,64",,,,,,,,,,,,,,"0,108","0,979","-0,014551780059351302","-0,0007677152549667443","-0,018797397125212","-0,05509644293789147","-0,00665183752780685","-0,020207078026806498"
1900-01-01 09:06:26.896,COM12,2024-09-20 13:51:31.704,"-0,013","-0,006","1,0","0,0","0,0","0,0","-0,511","0,544","163,685","97,981","45,422","48,997","19,49",96530,"408,64",,,,,,,,,,,,,,"0,093","0,981","-0,013565929995893095","-0,001056278174079453","0,0008323023565761645","-0,059039854619122735","-0,00674700083434528","-0,021913251488161686"
1900-01-01 09:06:26.989,COM12,2024-09-20 13:51:31.804,"-0,013","-0,006","0,999","0,0","0,0","0,0","-0,511","0,544","163,685","97,981","45,422","49,010","19,49",96530,"408,64",,,,,,,,,,,,,,"0,093","0,98","-0,013565929995893095","-0,001056278174079453","-0,00897769764342371","-0,06310059802888848","-0,006851299890811323","-0,023697073056434845"
1900-01-01 09:06:27.095,COM12,2024-09-20 13:51:31.904,"-0,013","-0,006","0,999","0,0","0,0","0,0","-0,511","0,549","163,685","97,981","45,422","48,997","19,47",96530,"408,64",,,,,,,,,,,,,,"0,106","0,98","-0,012744389024673591","-0,0012967470543006482","-0,008969532570736405","-0,06787216819295003","-0,0069847486351801175","-0,025831027694689476"
