Time	Device name	Chip Time()	Acceleration X(g)	Acceleration Y(g)	Acceleration Z(g)	Angular velocity X(°/s)	Angular velocity Y(°/s)	Angular velocity Z(°/s)	Angle X(°)	Angle Y(°)	Angle Z(°)	Magnetic field X(ʯt)	Magnetic field Y(ʯt)	Magnetic field Z(ʯt)	Temperature(℃)	Pressure(Pa)	Height(m)	Longitude()	Latitude()	GPS ground speed(km)	Angle of course(°)	GPS height(m)	Number of satellites()	Position location()	Horizontal position()	Vertical position()	Quaternions 0()	Quaternions 1()	Quaternions 2()	Quaternions 3()
 09:07:23.876	COM12	2024-09-20 13:52:28.704	-0,013	-0,008	0,999	0,000	0,000	0,000	-0,626	0,599	163,092	99,944	61,386	60,866	19,85	96528	408,81														
 09:07:23.969	COM12	2024-09-20 13:52:28.804	-0,013	-0,008	0,999	0,000	0,000	0,000	-0,626	0,599	163,092	99,957	61,399	60,853	19,85	96528	408,81														
 09:07:24.078	COM12	2024-09-20 13:52:28.904	-0,013	-0,008	0,999	0,000	0,000	0,000	-0,626	0,599	163,092	99,944	61,399	60,879	19,85	96528	408,81														
 09:07:24.170	COM12	2024-09-20 13:52:29.004	-0,014	-0,009	0,999	0,000	0,000	0,000	-0,626	0,599	163,092	99,957	61,386	60,866	19,87	96528	408,81														
 09:07:24.279	COM12	2024-09-20 13:52:29.104	-0,013	-0,008	0,999	0,000	0,000	0,000	-0,626	0,599	163,092	99,957	61,386	60,866	19,82	96528	408,81														
 09:07:24.372	COM12	2024-09-20 13:52:29.204	-0,013	-0,009	0,998	0,000	0,000	0,000	-0,632	0,604	163,092	99,944	61,399	60,866	19,85	96528	408,81														
 09:07:24.480	COM12	2024-09-20 13:52:29.304	-0,013	-0,008	1,000	0,000	0,000	0,000	-0,632	0,604	163,092	99,944	61,386	60,866	19,88	96528	408,81														
 09:07:24.573	COM12	2024-09-20 13:52:29.404	-0,013	-0,009	0,998	0,000	0,000	0,000	-0,632	0,604	163,092	99,944	61,386	60,866	19,88	96528	408,81														
 09:07:24.679	COM12	2024-09-20 13:52:29.504	-0,013	-0,009	0,999	0,000	0,000	0,000	-0,632	0,604	163,092	99,944	61,386	60,853	19,90	96528	408,81														
 09:07:24.773	COM12	2024-09-20 13:52:29.604	-0,013	-0,008	0,999	0,000	0,000	0,000	-0,632	0,604	163,092	99,957	61,386	60,853	19,87	96528	408,81														
 09:07:24.883	COM12	2024-09-20 13:52:29.704	-0,013	-0,009	0,999	0,000	0,000	0,000	-0,632	0,604	163,092	99,944	61,386	60,879	19,87	96528	408,81														
 09:07:24.976	COM12	2024-09-20 13:52:29.804	-0,013	-0,009	1,000	0,000	0,000	0,000	-0,637	0,604	163,092	99,957	61,386	60,866	19,88	96528	408,81														
 09:07:25.068	COM12	2024-09-20 13:52:29.904	-0,013	-0,009	0,999	0,000	0,000	0,000	-0,637	0,604	163,092	99,957	61,386	60,866	19,87	96528	408,81														
 09:07:25.177	COM12	2024-09-20 13:52:30.004	-0,013	-0,009	0,999	0,000	0,000	0,000	-0,637	0,604	163,092	99,944	61,399	60,866	19,87	96528	408,81														
 09:07:25.269	COM12	2024-09-20 13:52:30.104	-0,013	-0,008	0,999	0,000	0,000	0,000	-0,637	0,604	163,092	99,957	61,386	60,866	19,87	96528	408,81														
 09:07:25.378	COM12	2024-09-20 13:52:30.204	-0,014	-0,009	0,999	0,000	0,000	0,000	-0,643	0,604	163,092	99,944	61,386	60,866	19,90	96528	408,81														
 09:07:25.469	COM12	2024-09-20 13:52:30.304	-0,013	-0,009	1,000	0,000	0,000	0,000	-0,643	0,604	163,092	99,944	61,386	60,866	19,90	96528	408,81														
