Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3(),Delta_t,Velocity X(m/s),Velocity Y(m/s),Velocity Z(m/s),Position X(m),Position Y(m),Position Z(m)
1900-01-01 09:51:45.800,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,829","1,066","-3,329","83,161","42,588","76,427","20,28",96759,"389,12",,,,,,,,,,,,,,,"0,0","0,0","0,0","0,0","0,0","0,0"
1900-01-01 09:51:45.900,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,829","1,066","-3,329","83,174","42,588","76,427","20,28",96759,"389,12",,,,,,,,,,,,,,"0,1","0,0","0,0","0,0","0,0","0,0","0,0"
1900-01-01 09:51:46.000,COM12,,"-0,021","0,018","1,008","0,0","0,0","0,0","0,829","1,066","-3,329","83,161","42,588","76,427","20,28",96759,"389,12",,,,,,,,,,,,,,"0,1","0,0","0,0","0,0","0,0","0,0","0,0"
1900-01-01 09:51:46.099,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,829","1,066","-3,329","83,161","42,588","76,427","20,29",96759,"389,12",,,,,,,,,,,,,,"0,099","0,0","0,0","0,0","0,0","0,0","0,0"
1900-01-01 09:51:46.199,COM12,,"-0,021","0,017","1,009","0,0","0,0","0,0","0,829","1,066","-3,329","83,174","42,588","76,427","20,29",96760,"389,04",,,,,,,,,,,,,,"0,1","0,0","0,0","0,0","0,0","0,0","0,0"
1900-01-01 09:51:46.299,COM12,,"-0,022","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,161","42,575","76,427","20,31",96759,"389,12",,,,,,,,,,,,,,"0,1","0,0","0,0","0,0","0,0","0,0","0,0"
1900-01-01 09:51:46.399,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,161","42,575","76,414","20,29",96759,"389,12",,,,,,,,,,,,,,"0,1","0,0","0,0","0,0","0,0","0,0","0,0"
1900-01-01 09:51:46.499,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,161","42,588","76,440","20,29",96759,"389,12",,,,,,,,,,,,,,"0,1","0,0","0,0","0,0","0,0","0,0","0,0"
1900-01-01 09:51:46.599,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,161","42,588","76,427","20,29",96759,"389,12",,,,,,,,,,,,,,"0,1","0,0","0,0","0,0","0,0","0,0","0,0"
1900-01-01 09:51:46.699,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,174","42,575","76,427","20,28",96759,"389,12",,,,,,,,,,,,,,"0,1","0,0","0,0","0,0","0,0","0,0","0,0"
1900-01-01 09:51:46.799,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,174","42,575","76,427","20,29",96759,"389,12",,,,,,,,,,,,,,"0,1","0,0","0,0","0,0","0,0","0,0","0,0"
1900-01-01 09:51:46.899,COM12,,"-0,021","0,018","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,161","42,575","76,427","20,26",96759,"389,12",,,,,,,,,,,,,,"0,1","1,2500000000000012e-05","8,288967171781531e-05","-0,8810100009566023","1,2500000000000014e-06","8,28896717178153e-06","-0,08810100009566024"
1900-01-01 09:51:46.998,COM12,,"-0,022","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,161","42,588","76,427","20,34",96759,"389,12",,,,,,,,,,,,,,"0,099","-7,412499999999973e-05","6,595044672434277e-05","-1,753209900823716","-6,088374999999972e-06","1,4818061397491464e-05","-0,26166878027720814"
1900-01-01 09:51:47.098,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,161","42,575","76,440","20,26",96759,"389,12",,,,,,,,,,,,,,"0,1","-6,162499999999972e-05","4,884011844810789e-05","-2,6342199006894877","-1,2250874999999946e-05","1,9702073242302253e-05","-0,5250907703461569"
1900-01-01 09:51:47.198,COM12,,"-0,022","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,161","42,575","76,440","20,29",96759,"389,12",,,,,,,,,,,,,,"0,1","-0,00014912499999999946","3,172979017187301e-05","-3,5152299005552594","-2,7163374999999895e-05","2,2875052259489556e-05","-0,8766137604016828"
1900-01-01 09:51:47.298,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,174","42,575","76,440","20,26",96759,"389,12",,,,,,,,,,,,,,"0,1","-0,00013662499999999946","1,4619461895638125e-05","-4,3962399004210315","-4,082587499999984e-05","2,4336998449053367e-05","-1,3162377504437859"
1900-01-01 09:51:47.398,COM12,,"-0,021","0,017","1,009","0,0","0,0","0,0","0,824","1,066","-3,329","83,174","42,575","76,440","20,31",96759,"389,12",,,,,,,,,,,,,,"0,1","-0,00012412499999999945","-2,4897755498142795e-06","-5,277149900286809","-5,323837499999978e-05","2,4088020894071938e-05","-1,8439527404724667"
1900-01-01 09:51:47.498,COM12,,"-0,021","0,016","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,174","42,575","76,427","20,29",96759,"389,12",,,,,,,,,,,,,,"0,1","-0,00011162499999999945","-0,0001196001038200997","-6,15815989906175","-6,440087499999972e-05","1,2128010512061968e-05","-2,4597687303786415"
1900-01-01 09:51:47.598,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,174","42,575","76,440","20,28",96759,"389,12",,,,,,,,,,,,,,"0,1","-9,912499999999944e-05","-0,00013671043209633458","-7,039169898927522","-7,431337499999967e-05","-1,5430326975714912e-06","-3,1636857202713937"
1900-01-01 09:51:47.698,COM12,,"-0,021","0,018","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,174","42,588","76,440","20,29",96759,"389,12",,,,,,,,,,,,,,"0,1","-8,662499999999944e-05","-5,382076037851927e-05","-7,920179899884125","-8,297587499999962e-05","-6,925108735423419e-06","-3,9557037102598063"
1900-01-01 09:51:47.798,COM12,,"-0,022","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,161","42,575","76,440","20,29",96759,"389,12",,,,,,,,,,,,,,"0,1","-0,00017412499999999918","-7,093108865475415e-05","-8,801189899749897","-0,00010038837499999953","-1,4018217600898834e-05","-4,835822700234796"
1900-01-01 09:51:47.898,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,174","42,575","76,440","20,34",96759,"389,12",,,,,,,,,,,,,,"0,1","-0,00016162499999999917","-8,804141693098903e-05","-9,682199899615668","-0,00011655087499999945","-2,2822359293997738e-05","-5,804042690196363"
1900-01-01 09:51:47.998,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,161","42,575","76,440","20,29",96759,"389,12",,,,,,,,,,,,,,"0,1","-0,00014912499999999917","-0,00010515174520722391","-10,56320989948144","-0,00013146337499999935","-3,333753381472013e-05","-6,860363680144507"
1900-01-01 09:51:48.098,COM12,,"-0,021","0,017","1,009","0,0","0,0","0,0","0,824","1,066","-3,329","83,174","42,575","76,440","20,31",96759,"389,12",,,,,,,,,,,,,,"0,1","-0,00013662499999999916","-0,0001222609826526763","-11,444119899347216","-0,00014512587499999926","-4,556363207998777e-05","-8,00477567007923"
1900-01-01 09:51:48.198,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,174","42,575","76,427","20,29",96759,"389,12",,,,,,,,,,,,,,"0,1","-0,00012412499999999915","-0,0001393713109289112","-12,325129899212987","-0,0001575383749999992","-5,9500763172878886e-05","-9,237288660000528"
1900-01-01 09:51:48.298,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,174","42,588","76,427","20,31",96759,"389,12",,,,,,,,,,,,,,"0,1","-0,00011162499999999915","-0,0001564816392051461","-13,206139899078758","-0,0001687008749999991","-7,514892709339349e-05","-10,557902649908405"
1900-01-01 09:51:48.398,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,174","42,575","76,440","20,33",96759,"389,12",,,,,,,,,,,,,,"0,1","-9,912499999999914e-05","-0,000173591967481381","-14,08714989894453","-0,00017861337499999904","-9,250812384153158e-05","-11,966617639802857"
1900-01-01 09:51:48.498,COM12,,"-0,022","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,161","42,575","76,440","20,31",96759,"389,12",,,,,,,,,,,,,,"0,1","-0,00018662499999999888","-0,00019070229575761589","-14,9681598988103","-0,00019727587499999893","-0,00011157835341729317","-13,463433629683887"
1900-01-01 09:51:48.598,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,174","42,588","76,440","20,29",96759,"389,12",,,,,,,,,,,,,,"0,1","-0,00017412499999999888","-0,00020781262403385078","-15,849169898676072","-0,00021468837499999882","-0,00013235961582067825","-15,048350619551496"
1900-01-01 09:51:48.699,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,161","42,575","76,440","20,31",96759,"389,12",,,,,,,,,,,,,,"0,101","-0,00016149999999999886","-0,00022509405559284802","-16,7389899985405","-0,0002309998749999987","-0,0001550941154355559","-16,738988609404085"
1900-01-01 09:51:48.799,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,174","42,575","76,440","20,33",96759,"389,12",,,,,,,,,,,,,,"0,1","-0,00014899999999999885","-0,0002422043838690829","-17,61999999840627","-0,00024589987499999856","-0,0001793145538224642","-18,50098860924471"
1900-01-01 09:51:48.899,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,161","42,588","76,440","20,31",96759,"389,12",,,,,,,,,,,,,,"0,1","-0,00013649999999999885","-0,0002593147121453178","-18,501009998272043","-0,00025954987499999843","-0,000205246025036996","-20,351089609071916"
1900-01-01 09:51:49.000,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,174","42,575","76,440","20,28",96759,"389,12",,,,,,,,,,,,,,"0,101","-0,00012387499999999882","-0,000276596143704315","-19,390830098136473","-0,00027206124999999833","-0,0002331822355511318","-22,3095634489837"
1900-01-01 09:51:49.098,COM12,,"-0,021","0,018","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,174","42,575","76,440","20,34",96759,"389,12",,,,,,,,,,,,,,"0,098","-0,00011162499999999881","-0,00019536426542085598","-20,25421989907394","-0,0002830004999999982","-0,0002523279335623757","-24,294476999092947"
1900-01-01 09:51:49.198,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,161","42,575","76,440","20,33",96759,"389,12",,,,,,,,,,,,,,"0,1","-9,912499999999879e-05","-0,00021247459369709088","-21,135229898939713","-0,0002929129999999981","-0,0002735753929320848","-26,40799998898692"
1900-01-01 09:51:49.298,COM12,,"-0,021","0,017","1,009","0,0","0,0","0,0","0,824","1,066","-3,329","83,174","42,575","76,427","20,31",96759,"389,12",,,,,,,,,,,,,,"0,1","-8,662499999999879e-05","-0,00022958383114254327","-22,01613989880549","-0,000301575499999998","-0,00029653377604633914","-28,60961397886747"
1900-01-01 09:51:49.398,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,174","42,575","76,440","20,34",96759,"389,12",,,,,,,,,,,,,,"0,1","-7,412499999999878e-05","-0,00024669415941877814","-22,897149898671262","-0,0003089879999999979","-0,00032120319198821693","-30,899328968734594"
1900-01-01 09:51:49.498,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,174","42,575","76,440","20,29",96759,"389,12",,,,,,,,,,,,,,"0,1","-6,162499999999877e-05","-0,00026380448769501303","-23,778159898537034","-0,0003151504999999978","-0,00034758364075771826","-33,277144958588295"
1900-01-01 09:51:49.598,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,161","42,575","76,440","20,31",96759,"389,12",,,,,,,,,,,,,,"0,1","-4,912499999999876e-05","-0,00028091481597124793","-24,659169898402805","-0,00032006299999999766","-0,00037567512235484306","-35,743061948428576"
