Time	Device name	Chip Time()	Acceleration X(g)	Acceleration Y(g)	Acceleration Z(g)	Angular velocity X(°/s)	Angular velocity Y(°/s)	Angular velocity Z(°/s)	Angle X(°)	Angle Y(°)	Angle Z(°)	Magnetic field X(ʯt)	Magnetic field Y(ʯt)	Magnetic field Z(ʯt)	Temperature(℃)	Pressure(Pa)	Height(m)	Longitude()	Latitude()	GPS ground speed(km)	Angle of course(°)	GPS height(m)	Number of satellites()	Position location()	Horizontal position()	Vertical position()	Quaternions 0()	Quaternions 1()	Quaternions 2()	Quaternions 3()
 05:11:18.625	COM12		-0,021	0,017	1,008	0,000	0,000	0,000	0,851	1,044	0,665	69,758	45,968	98,332	18,35	96787	386,73														
 05:11:18.720	COM12		-0,021	0,016	1,008	0,000	0,000	0,000	0,846	1,044	0,665	69,758	45,968	98,345	18,34	96787	386,73														
 05:11:18.820	COM12		-0,021	0,017	1,008	0,000	0,000	0,000	0,846	1,049	0,665	69,732	45,955	98,332	18,35	96787	386,73														
 05:11:18.919	COM12		-0,021	0,016	1,008	0,000	0,000	0,000	0,840	1,049	0,665	69,745	45,955	98,332	18,37	96787	386,73														
 05:11:19.019	COM12		-0,022	0,017	1,009	0,000	0,000	0,000	0,840	1,049	0,665	69,745	45,955	98,332	18,35	96788	386,65														
 05:11:19.119	COM12		-0,022	0,017	1,008	0,000	0,000	0,000	0,835	1,055	0,665	69,745	45,955	98,332	18,39	96787	386,73														
 05:11:19.219	COM12		-0,021	0,017	1,008	0,000	0,000	0,000	0,835	1,055	0,665	69,745	45,942	98,332	18,39	96787	386,73														
 05:11:19.319	COM12		-0,022	0,016	1,008	0,000	0,000	0,000	0,829	1,055	0,665	69,745	45,955	98,332	18,37	96787	386,73														
 05:11:19.419	COM12		-0,021	0,016	1,008	0,000	0,000	0,000	0,829	1,060	0,665	69,758	45,955	98,332	18,39	96787	386,73														
 05:11:19.520	COM12		-0,021	0,017	1,008	0,000	0,000	0,000	0,829	1,060	0,665	69,745	45,955	98,332	18,39	96787	386,73														
 05:11:19.619	COM12		-0,022	0,017	1,008	0,000	0,000	0,000	0,824	1,060	0,665	69,745	45,955	98,332	18,35	96787	386,73														
 05:11:19.719	COM12		-0,021	0,017	1,008	0,000	0,000	0,000	0,824	1,060	0,665	69,758	45,968	98,332	18,37	96787	386,73														
 05:11:19.820	COM12		-0,021	0,017	1,008	0,000	0,000	0,000	0,824	1,060	0,665	69,758	45,955	98,332	18,35	96787	386,73														
 05:11:19.919	COM12		-0,021	0,017	1,008	0,000	0,000	0,000	0,818	1,066	0,665	69,758	45,955	98,332	18,37	96787	386,73														
 05:11:20.019	COM12		-0,021	0,016	1,008	0,000	0,000	0,000	0,818	1,066	0,665	69,745	45,942	98,332	18,35	96787	386,73														
 05:11:20.119	COM12		-0,021	0,017	1,007	0,000	0,000	0,000	0,818	1,066	0,665	69,745	45,955	98,345	18,39	96787	386,73														
 05:11:20.219	COM12		-0,021	0,017	1,007	0,000	0,000	0,000	0,818	1,066	0,665	69,758	45,942	98,345	18,35	96787	386,73														
 05:11:20.319	COM12		-0,022	0,016	1,006	0,000	0,000	0,000	0,818	1,066	0,665	69,745	45,955	98,345	18,39	96787	386,73														
 05:11:20.419	COM12		-0,022	0,017	1,008	0,000	0,000	0,000	0,818	1,066	0,665	69,758	45,942	98,358	18,39	96787	386,73														
 05:11:20.519	COM12		-0,021	0,016	1,007	0,000	0,000	0,000	0,813	1,071	0,665	69,758	45,929	98,371	18,37	96787	386,73														
 05:11:20.619	COM12		-0,019	0,017	1,009	0,000	0,000	0,000	0,813	1,071	0,665	69,758	45,903	98,371	18,39	96787	386,73														
 05:11:20.719	COM12		-0,021	0,017	1,010	0,000	0,000	0,000	0,813	1,071	0,665	69,758	45,903	98,384	18,39	96787	386,73														
